LAMMPS data file. CGCMM style. atom_style atomic generated by VMD/TopoTools v1.8 on Wed Aug 27 18:25:51 CEST 2025
 12540 atoms
 5 atom types
 -32.084549 19.773453  xlo xhi
 0.091263 38.877316  ylo yhi
 -12.086612 85.499104  zlo zhi
 0.270783 -48.018172 0.145414 xy xz yz

 Masses

1 39.0983
2 26.981538
3 28.0855
4 15.9994
5 2

 Atoms # atomic

1 4 -3.143033 1.744635 7.403353 # 4
2 4 0.067714 1.595225 3.682312 # 4
3 4 0.251736 11.481917 3.632934 # 4
4 4 1.295200 8.263825 7.319917 # 4
5 4 4.535001 8.093765 3.609414 # 4
6 4 4.693100 4.875435 3.726713 # 4
7 1 3.717404 38.832935 6.460382 # 1
8 2 6.203705 10.619639 6.036762 # 2
9 3 6.233717 2.331792 6.004461 # 3
10 3 0.520756 11.353886 5.274032 # 3
11 3 0.401718 1.525696 5.256467 # 3
12 4 0.949471 12.974598 5.505896 # 4
13 4 -0.731194 10.997408 6.187727 # 4
14 4 -0.891837 2.009211 6.115611 # 4
15 4 5.979979 8.960547 5.607190 # 4
16 4 6.051911 3.888469 5.870769 # 4
17 4 5.363151 11.908456 5.070078 # 4
18 4 5.467772 1.714339 4.670465 # 4
19 1 -0.845831 6.539780 6.510052 # 1
20 2 1.853262 4.122761 6.048863 # 2
21 3 1.925243 8.822808 5.991288 # 3
22 3 4.838624 4.878999 5.363616 # 3
23 3 4.799608 7.967443 5.251392 # 3
24 4 5.245798 6.421632 5.724878 # 4
25 4 3.575247 4.370906 6.199633 # 4
26 4 3.498790 8.420641 6.125077 # 4
27 4 1.664613 2.436026 5.632659 # 4
28 4 1.812119 10.456032 5.719316 # 4
29 4 1.389669 5.226068 4.772539 # 4
30 4 1.240478 8.045216 4.683639 # 4
31 1 -1.124002 12.801212 8.387211 # 1
32 2 -3.858661 2.349680 8.870359 # 2
33 3 -3.754951 10.572438 8.953208 # 3
34 3 1.831343 1.505804 9.638064 # 3
35 3 1.934911 11.452116 9.741017 # 3
36 4 -6.471420 1.805806 13.839228 # 4
37 4 1.625332 38.803349 9.303443 # 4
38 4 3.136216 1.829287 8.823225 # 4
39 4 3.426853 11.211942 9.108370 # 4
40 4 -3.598865 4.034030 9.257871 # 4
41 4 -3.679100 8.987597 9.210346 # 4
42 4 -2.951543 1.645032 10.146682 # 4
43 4 -2.892713 11.379050 10.109797 # 4
44 1 3.144913 6.410836 8.370914 # 1
45 2 0.554444 8.801381 8.842937 # 2
46 3 0.514843 4.069006 9.043864 # 3
47 3 -2.438626 7.954053 9.618646 # 3
48 3 -2.449235 4.965747 9.829237 # 3
49 4 -1.986801 8.319139 13.856305 # 4
50 4 -2.927899 6.475643 9.278755 # 4
51 4 -1.188603 8.376091 8.764283 # 4
52 4 -0.981363 4.737229 9.185073 # 4
53 4 0.855622 10.474816 9.188877 # 4
54 4 0.586747 2.482741 9.165361 # 4
55 4 1.429983 7.874432 10.065198 # 4
56 4 1.523497 4.622179 10.166883 # 4
57 1 0.224472 0.075935 13.041172 # 1
58 2 2.949774 10.488045 12.547389 # 2
59 3 2.936531 2.353308 12.483861 # 3
60 3 -2.721490 11.333655 11.791684 # 3
61 3 -2.851299 1.439090 11.740158 # 3
62 4 5.506494 11.077447 7.609160 # 4
63 4 -2.194008 12.864010 12.085222 # 4
64 4 -4.003034 10.941836 12.544656 # 4
65 4 -4.243977 1.758120 12.468441 # 4
66 4 2.810568 8.826340 12.161533 # 4
67 4 2.869158 3.954794 12.383932 # 4
68 4 1.997056 11.445082 11.344449 # 4
69 4 1.993948 1.725809 11.227836 # 4
70 1 -4.076863 6.562121 13.042929 # 1
71 2 -1.470424 3.979407 12.581250 # 2
72 3 -1.384933 8.796013 12.450875 # 3
73 3 1.567918 4.828422 11.766995 # 3
74 3 1.584012 7.905584 11.657700 # 3
75 4 1.159035 4.552775 7.632191 # 4
76 4 1.973067 6.381655 12.161925 # 4
77 4 0.243801 4.393240 12.546217 # 4
78 4 0.254918 8.409616 12.391543 # 4
79 4 -1.772871 2.352264 12.413600 # 4
80 4 -1.494145 10.359675 12.140457 # 4
81 4 -2.289137 4.994422 11.399781 # 4
82 4 -2.149305 7.983098 11.228518 # 4
83 1 -4.367748 12.859651 14.860755 # 1
84 2 -7.054960 2.371900 15.429289 # 2
85 3 -6.993171 10.533737 15.490867 # 3
86 3 -1.400241 1.560922 16.168207 # 3
87 3 -1.336839 11.481044 16.217098 # 3
